Respondent,Platform
6828,Heroku
6828,iOS
6828,Linux
6828,MacOS
6828,Slack
6828,Windows
6828,WordPress
6829,Windows
6832,Docker
6832,Linux
6832,Raspberry Pi
6832,Windows
6833,Android
6833,Arduino
6836,AWS
6836,Google Cloud Platform
6836,iOS
6836,Kubernetes
6836,Linux
6836,Microsoft Azure
6836,Slack
6836,Windows
6838,Docker
6838,Heroku
6838,Kubernetes
6838,Linux
6838,Raspberry Pi
6838,Windows
6846,AWS
6846,Docker
6846,Kubernetes
6846,Linux
6846,Slack
6846,Windows
6850,AWS
6850,Docker
6850,Google Cloud Platform
6850,Linux
6850,Microsoft Azure
6850,Slack
6852,Android
6852,Linux
6852,Slack
6852,Windows
6854,AWS
6854,Heroku
6854,iOS
6854,MacOS
6857,Linux
6857,Raspberry Pi
6857,Windows
6858,AWS
6858,Docker
6858,Linux
6858,MacOS
6858,Slack
6860,Heroku
6860,Microsoft Azure
6860,Slack
6862,AWS
6862,Google Cloud Platform
6862,Linux
6862,MacOS
6862,Raspberry Pi
6862,Slack
6862,Windows
6865,Arduino
6865,AWS
6865,Docker
6865,Google Cloud Platform
6865,Linux
6865,MacOS
6865,Windows
6868,Android
6868,AWS
6868,Docker
6868,Heroku
6868,iOS
6868,MacOS
6868,Raspberry Pi
6874,Android
6874,Linux
6874,Slack
6874,Windows
6880,Android
6880,Google Cloud Platform
6880,iOS
6880,MacOS
6880,Windows
6875,Windows
6881,Arduino
6881,Raspberry Pi
6881,Windows
6881,Other(s):
6886,AWS
6886,Docker
6886,Linux
6886,MacOS
6886,Slack
6886,Windows
6889,AWS
6889,Docker
6889,Linux
6889,Microsoft Azure
6889,Slack
6893,iOS
6893,Linux
6895,AWS
6895,Linux
6895,MacOS
6895,Raspberry Pi
6901,Docker
6901,Google Cloud Platform
6901,Kubernetes
6901,Linux
6901,Raspberry Pi
6901,Slack
6903,Docker
6903,Linux
6906,AWS
6906,Docker
6906,Kubernetes
6906,Linux
6906,Slack
6909,Arduino
6909,Heroku
6909,WordPress
6911,AWS
6911,Docker
6911,MacOS
6911,Slack
6913,Microsoft Azure
6913,Windows
6917,AWS
6917,Linux
6923,Windows
6924,Android
6924,Google Cloud Platform
6924,Heroku
6924,iOS
6924,Kubernetes
6924,Linux
6924,MacOS
6924,Slack
6925,Windows
6926,Docker
6926,Linux
6926,Slack
6926,Windows
6927,AWS
6927,Docker
6927,Linux
6927,MacOS
6927,Raspberry Pi
6927,Slack
6931,AWS
6931,Windows
6932,Docker
6932,Linux
6940,Heroku
6940,MacOS
6940,Windows
6943,Docker
6943,Heroku
6943,Linux
6943,Microsoft Azure
6945,Android
6945,WordPress
6946,AWS
6946,Linux
6951,Docker
6951,Heroku
6951,Linux
6951,Windows
6952,Linux
6952,Raspberry Pi
6952,Windows
6955,AWS
6955,Docker
6955,iOS
6955,Kubernetes
6955,Linux
6959,Arduino
6959,AWS
6959,Linux
6959,Windows
6962,AWS
6962,Docker
6962,Microsoft Azure
6995,Windows
6966,Windows
6972,AWS
6972,Google Cloud Platform
6974,Kubernetes
6975,AWS
6977,Android
6977,AWS
6977,Linux
6977,MacOS
6977,Windows
6977,WordPress
6978,AWS
6978,Linux
6978,Windows
6978,WordPress
6980,Linux
6980,WordPress
6982,Android
6982,AWS
6982,Docker
6982,Google Cloud Platform
6982,Kubernetes
6982,Linux
6982,MacOS
6982,Slack
6985,Android
6985,Arduino
6985,AWS
6985,Docker
6985,iOS
6985,Microsoft Azure
6985,Slack
6985,Windows
6989,AWS
6989,Docker
6989,Linux
6989,MacOS
6989,Slack
6990,Windows
6994,Docker
6994,Google Cloud Platform
6994,Heroku
6994,Kubernetes
6994,Linux
6994,MacOS
6999,AWS
6999,Docker
6999,Linux
6999,Raspberry Pi
7000,Docker
7000,Google Cloud Platform
7000,Linux
7000,Slack
7001,AWS
7001,Linux
7001,Windows
7004,AWS
7009,Windows
7019,AWS
7012,Linux
7012,Windows
7012,WordPress
7014,AWS
7014,Docker
7014,Google Cloud Platform
7014,Linux
7014,Raspberry Pi
7014,Windows
7026,Linux
7026,Windows
7027,Docker
7027,Kubernetes
7027,Linux
7027,MacOS
7027,Microsoft Azure
7027,Windows
7030,Windows
7030,WordPress
7032,Android
7032,Linux
7032,Microsoft Azure
7032,Windows
7032,WordPress
7033,AWS
7033,Docker
7033,Google Cloud Platform
7033,Microsoft Azure
7033,Windows
7040,AWS
7040,Docker
7040,Kubernetes
7040,Linux
7040,Windows
7037,Microsoft Azure
7037,Windows
7038,Windows
7042,AWS
7042,Docker
7042,Linux
7042,MacOS
7042,Slack
7043,AWS
7043,Docker
7043,Linux
7049,Windows
7049,WordPress
7053,Linux
7053,Windows
7053,Other(s):
7056,Windows
7056,Other(s):
7063,Docker
7063,Microsoft Azure
7063,Slack
7063,Windows
7068,Android
7068,Docker
7068,IBM Cloud or Watson
7068,Kubernetes
7068,Linux
7068,Raspberry Pi
7073,Google Cloud Platform
7073,Microsoft Azure
7073,Windows
7073,WordPress
7077,Arduino
7077,AWS
7077,Docker
7077,Google Cloud Platform
7077,Kubernetes
7077,Linux
7077,MacOS
7077,Microsoft Azure
7077,Raspberry Pi
7077,Slack
7077,Windows
7077,WordPress
7080,Linux
7080,Windows
7081,Android
7081,Windows
7082,Docker
7082,Google Cloud Platform
7082,Linux
7082,Slack
7090,AWS
7090,Docker
7090,Slack
7090,Windows
7129,AWS
7129,Windows
7129,Other(s):
7095,Microsoft Azure
7095,Slack
7095,Windows
7097,AWS
7097,Docker
7097,Kubernetes
7097,Raspberry Pi
7097,Windows
7098,Android
7098,AWS
7098,Docker
7098,Linux
7098,MacOS
7098,Slack
7098,Windows
7098,WordPress
7102,AWS
7102,Docker
7102,Google Cloud Platform
7102,Kubernetes
7102,Slack
7104,Android
7104,Docker
7104,Linux
7104,Windows
7105,AWS
7105,Docker
7105,Kubernetes
7106,Android
7113,Linux
7113,Raspberry Pi
7113,Windows
7113,WordPress
7114,AWS
7114,Docker
7114,Kubernetes
7114,Linux
7114,MacOS
7116,AWS
7116,Docker
7116,Google Cloud Platform
7116,Kubernetes
7116,MacOS
7116,Slack
7121,AWS
7121,Docker
7121,Linux
7121,Raspberry Pi
7122,Docker
7122,Linux
7123,Linux
7123,MacOS
7142,AWS
7136,Arduino
7136,Other(s):
7138,AWS
7138,Docker
7138,Linux
7138,MacOS
7141,Linux
7141,Other(s):
7143,Android
7143,AWS
7143,Docker
7143,Google Cloud Platform
7143,Linux
7143,Slack
7143,Windows
7143,WordPress
7144,Docker
7144,Heroku
7144,Kubernetes
7144,Linux
7144,MacOS
7146,Linux
7146,Windows
7147,Microsoft Azure
7147,Windows
7153,Microsoft Azure
7153,Windows
7154,Android
7154,iOS
7161,Windows
7169,Raspberry Pi
7169,Windows
7171,Android
7171,AWS
7171,Google Cloud Platform
7171,iOS
7171,Slack
7174,AWS
7174,Docker
7174,Windows
7175,Docker
7175,Linux
7175,Raspberry Pi
7175,WordPress
7179,AWS
7179,Docker
7179,MacOS
7179,Slack
7186,Arduino
7186,Linux
7186,Raspberry Pi
7186,Slack
7186,Windows
7186,WordPress
7187,Docker
7188,Windows
7190,MacOS
7190,Windows
7192,Android
7192,Google Cloud Platform
7192,IBM Cloud or Watson
7192,iOS
7192,Linux
7192,Microsoft Azure
7192,Windows
7213,AWS
7213,Linux
7213,MacOS
7213,Slack
7198,Android
7198,iOS
7198,Linux
7198,MacOS
7198,Slack
7199,Raspberry Pi
7199,Other(s):
7203,Windows
7205,Arduino
7205,Docker
7205,Google Cloud Platform
7205,Linux
7205,Raspberry Pi
7206,Docker
7206,Linux
7206,Slack
7210,Heroku
7210,Linux
7210,Microsoft Azure
7210,Slack
7210,Windows
7215,Android
7218,Windows
7218,Other(s):
7238,Docker
7238,Linux
7238,Windows
7238,WordPress
7219,Arduino
7219,AWS
7219,Docker
7219,Heroku
7219,Windows
7223,AWS
7223,Linux
7223,MacOS
7223,Microsoft Azure
7223,WordPress
7231,Docker
7231,Kubernetes
7231,Linux
7247,AWS
7247,Linux
7247,Windows
7252,AWS
7252,Docker
7252,MacOS
7307,Android
7307,AWS
7307,iOS
7307,Linux
7259,Windows
7267,Windows
7270,Android
7270,iOS
7270,WordPress
7271,Docker
7271,Linux
7271,Slack
7275,Linux
7275,Raspberry Pi
7278,Android
7278,Slack
7278,Windows
7278,WordPress
7285,AWS
7285,Docker
7285,Kubernetes
7285,Linux
7285,Microsoft Azure
7287,iOS
7288,Android
7288,Arduino
7288,Linux
7288,Raspberry Pi
7288,Windows
7288,WordPress
7289,Android
7289,Arduino
7291,AWS
7291,Docker
7291,Heroku
7291,Linux
7295,Docker
7295,Heroku
7295,Linux
7295,Windows
7296,AWS
7296,MacOS
7299,Android
7299,AWS
7299,Docker
7299,Heroku
7300,AWS
7300,Docker
7300,Heroku
7302,Windows
7304,Microsoft Azure
7306,Docker
7306,Linux
7306,Raspberry Pi
7306,Windows
7313,AWS
7313,Docker
7313,Kubernetes
7313,Linux
7313,Slack
7315,AWS
7315,Google Cloud Platform
7315,Heroku
7315,Linux
7315,MacOS
7315,Slack
7319,Android
7319,Windows
7323,Linux
7323,Raspberry Pi
7323,Windows
7326,AWS
7326,Linux
7326,Raspberry Pi
7327,Linux
7327,Windows
7328,Linux
7329,Android
7329,Microsoft Azure
7329,Windows
7331,Other(s):
7332,MacOS
7332,Windows
7340,AWS
7340,Docker
7344,Linux
7347,Heroku
7347,Linux
7354,Docker
7354,Windows
7355,Linux
7355,Windows
7358,Linux
7358,MacOS
7359,Docker
7362,Linux
7362,MacOS
7362,Windows
7374,AWS
7374,Google Cloud Platform
7374,Linux
7374,MacOS
7374,Slack
7374,Windows
7379,MacOS
7379,Microsoft Azure
7379,Windows
7382,AWS
7382,Windows
7387,Docker
7387,Linux
7387,Slack
7390,AWS
7391,Android
7391,Windows
7393,Android
7393,Docker
7393,iOS
7393,Linux
7393,MacOS
7406,AWS
7406,Linux
7406,Windows
7396,Docker
7396,Kubernetes
7396,Linux
7396,Slack
7396,Windows
7397,Android
7402,Windows
7410,AWS
7410,Heroku
7410,MacOS
7410,Slack
7410,WordPress
7412,Linux
7412,MacOS
7412,Windows
7412,WordPress
7413,Android
7413,AWS
7413,Google Cloud Platform
7413,iOS
7413,Linux
7413,MacOS
7413,Windows
7413,WordPress
7416,Docker
7416,Linux
7424,Android
7424,AWS
7424,iOS
7424,Linux
7424,MacOS
7424,Slack
7424,Windows
7425,Android
7425,iOS
7425,Linux
7430,Android
7430,AWS
7430,Google Cloud Platform
7430,iOS
7430,Linux
7430,MacOS
7430,Raspberry Pi
7430,Windows
7431,Android
7431,Docker
7431,Linux
7431,Slack
7431,Windows
7432,Android
7452,AWS
7452,Docker
7452,Heroku
7452,Linux
7433,AWS
7433,Heroku
7433,Slack
7434,Docker
7434,MacOS
7434,Raspberry Pi
7434,Slack
7435,Android
7435,AWS
7435,Docker
7435,Google Cloud Platform
7435,iOS
7435,Kubernetes
7439,Arduino
7439,Heroku
7439,Raspberry Pi
7440,AWS
7440,Docker
7440,Kubernetes
7440,Linux
7440,Slack
7442,Docker
7442,Kubernetes
7442,Raspberry Pi
7444,AWS
7444,Docker
7444,Kubernetes
7444,Linux
7444,MacOS
7444,Raspberry Pi
7447,Android
7447,AWS
7447,Docker
7447,Google Cloud Platform
7447,Heroku
7447,IBM Cloud or Watson
7447,Linux
7447,MacOS
7447,Microsoft Azure
7447,Slack
7451,Heroku
7455,Linux
7472,Windows
7456,AWS
7456,Docker
7458,Heroku
7459,Android
7460,Windows
7462,Android
7462,Arduino
7462,iOS
7462,Linux
7462,MacOS
7462,Raspberry Pi
7462,WordPress
7475,Docker
7475,Kubernetes
7475,Linux
7475,Raspberry Pi
7475,Slack
7475,Windows
7476,Linux
7476,Windows
7477,Docker
7477,iOS
7477,Linux
7477,MacOS
7513,Linux
7513,Microsoft Azure
7513,Windows
7479,AWS
7484,Docker
7484,Linux
7484,MacOS
7484,Slack
7490,Android
7490,Arduino
7490,Linux
7490,MacOS
7490,Raspberry Pi
7493,Android
7493,Microsoft Azure
7493,Windows
7494,Arduino
7494,AWS
7494,Docker
7494,Kubernetes
7494,Linux
7494,MacOS
7494,Raspberry Pi
7494,Slack
7494,Windows
7497,AWS
7497,Docker
7497,Kubernetes
7497,Linux
7497,MacOS
7497,Raspberry Pi
7497,Slack
7497,Windows
7498,Docker
7498,Heroku
7498,Linux
7498,MacOS
7498,Slack
7498,Windows
7499,Linux
7499,MacOS
7515,AWS
7515,Heroku
7515,Linux
7515,Microsoft Azure
7524,iOS
7525,iOS
7525,Linux
7525,MacOS
7525,Microsoft Azure
7525,WordPress
7530,Android
7530,Windows
7555,Docker
7555,Linux
7555,Windows
7531,Docker
7531,Linux
7534,AWS
7534,Docker
7534,Linux
7536,Windows
7537,Docker
7537,Google Cloud Platform
7537,Linux
7541,Linux
7543,Docker
7543,Linux
7543,Slack
7545,AWS
7545,Linux
7552,AWS
7552,Docker
7552,Microsoft Azure
7552,Slack
7561,Docker
7561,Linux
7561,Raspberry Pi
7563,Heroku
7563,Linux
7563,Windows
7563,WordPress
7565,AWS
7565,Docker
7565,Heroku
7565,WordPress
7571,Linux
7571,Windows
7575,Android
7578,Linux
7578,Windows
7579,Windows
7586,Google Cloud Platform
7586,Microsoft Azure
7588,MacOS
7588,Slack
7591,Docker
7591,Google Cloud Platform
7591,Heroku
7591,Kubernetes
7591,MacOS
7591,Slack
7593,AWS
7593,Docker
7593,Google Cloud Platform
7593,Kubernetes
7593,Linux
7593,Windows
7600,Linux
7600,Windows
7605,Windows
7607,Android
7607,Docker
7607,Linux
7608,Android
7608,Arduino
7608,AWS
7608,Docker
7608,Heroku
7608,iOS
7608,MacOS
7608,Raspberry Pi
7612,Heroku
7612,Linux
7612,Windows
7615,AWS
7615,Docker
7615,Heroku
7615,IBM Cloud or Watson
7615,iOS
7615,Kubernetes
7615,Linux
7615,MacOS
7615,Slack
7620,Docker
7620,Microsoft Azure
7625,Windows
7629,Android
7629,Docker
7630,Arduino
7630,Docker
7630,Linux
7630,MacOS
7630,Raspberry Pi
7630,Slack
7630,WordPress
7632,AWS
7632,Docker
7632,Heroku
7632,iOS
7632,Kubernetes
7632,Linux
7632,MacOS
7632,Slack
7632,WordPress
7644,AWS
7647,Android
7647,AWS
7647,Microsoft Azure
7647,Windows
7647,WordPress
7646,Raspberry Pi
7646,Windows
7646,WordPress
7646,Other(s):
7650,Arduino
7650,Linux
7650,Windows
7651,Android
7651,Windows
7656,AWS
7656,Heroku
7656,MacOS
7657,Android
7657,Windows
7658,Android
7658,Windows
7665,Other(s):
7668,Arduino
7668,Docker
7668,Google Cloud Platform
7668,Linux
7668,Raspberry Pi
7670,AWS
7680,Android
7680,Linux
7680,Windows
7684,Linux
7684,Microsoft Azure
7686,Android
7688,AWS
7688,Docker
7688,Kubernetes
7688,MacOS
7689,Linux
7689,Windows
7691,Android
7691,Arduino
7691,AWS
7691,Docker
7691,Google Cloud Platform
7691,IBM Cloud or Watson
7691,iOS
7691,Linux
7691,MacOS
7691,Microsoft Azure
7691,Slack
7691,Windows
7691,WordPress
7692,Google Cloud Platform
7692,Kubernetes
7692,MacOS
7692,Slack
7694,iOS
7696,AWS
7696,Docker
7696,Google Cloud Platform
7696,Linux
7696,MacOS
7696,Slack
7696,WordPress
7700,Docker
7700,Linux
7700,Windows
7702,Android
7702,iOS
7702,Linux
7702,MacOS
7702,Slack
7702,Windows
7705,Android
7706,Windows
7710,Windows
7711,Raspberry Pi
7715,Docker
7715,Linux
7715,Windows
7716,MacOS
7716,Slack
7717,Microsoft Azure
7717,Windows
7718,Windows
7725,Android
7725,AWS
7725,Docker
7725,iOS
7725,Microsoft Azure
7725,Windows
7727,Arduino
7727,Linux
7727,Raspberry Pi
7728,Android
7728,Arduino
7728,AWS
7728,Docker
7728,Heroku
7728,Linux
7728,MacOS
7728,Slack
7728,Windows
7728,WordPress
7735,AWS
7742,Arduino
7742,Linux
7742,Raspberry Pi
7742,Windows
7743,Android
7743,Linux
7743,Windows
7746,Docker
7746,Raspberry Pi
7746,WordPress
7747,AWS
7747,Linux
7747,Windows
7748,Windows
7749,Android
7752,Docker
7752,Kubernetes
7752,Linux
7752,Other(s):
7751,Linux
7754,AWS
7754,Docker
7754,Google Cloud Platform
7754,IBM Cloud or Watson
7754,Kubernetes
7754,Linux
7754,MacOS
7754,Microsoft Azure
7754,Slack
7757,Google Cloud Platform
7757,Linux
7757,Slack
7757,Windows
7768,Docker
7768,Linux
7768,MacOS
7778,Docker
7778,Heroku
7778,Linux
7778,Microsoft Azure
7778,Windows
7782,AWS
7782,Google Cloud Platform
7782,Linux
7782,MacOS
7782,Windows
7782,WordPress
7785,AWS
7785,Docker
7785,Google Cloud Platform
7785,Kubernetes
7785,Linux
7785,Slack
7785,WordPress
7787,Linux
7787,MacOS
7787,Windows
7789,AWS
7789,Docker
7789,Linux
7789,MacOS
7789,Slack
7790,Android
7790,Microsoft Azure
7790,Windows
7792,Linux
7792,Windows
7793,Android
7793,iOS
7793,MacOS
7795,Windows
7796,Android
7797,Android
7797,AWS
7797,Docker
7797,iOS
7797,Other(s):
7799,MacOS
7799,Slack
7804,Docker
7804,Linux
7804,MacOS
7808,Linux
7808,Microsoft Azure
7808,Raspberry Pi
7808,Windows
7820,Android
7820,Windows
7809,Android
7809,Docker
7809,Kubernetes
7809,Windows
7809,WordPress
7812,Linux
7815,Android
7815,iOS
7817,Android
7817,AWS
7817,iOS
7817,Linux
7817,Windows
7818,AWS
7818,Microsoft Azure
7818,Windows
7822,Android
7823,Google Cloud Platform
7823,Linux
7823,Windows
7825,AWS
7825,Docker
7825,Google Cloud Platform
7825,Heroku
7825,Linux
7825,Microsoft Azure
7825,Windows
7850,Docker
7850,Linux
7850,Windows
7832,AWS
7832,Docker
7832,Linux
7832,Raspberry Pi
7833,Android
7833,Arduino
7833,Heroku
7833,Linux
7833,MacOS
7833,Raspberry Pi
7833,Slack
7840,Docker
7840,Google Cloud Platform
7840,Linux
7840,Windows
7848,AWS
7852,AWS
7852,Docker
7852,Google Cloud Platform
7852,iOS
7852,Kubernetes
7852,Linux
7852,Microsoft Azure
7852,Slack
7852,WordPress
7860,Android
7860,Windows
7862,AWS
7862,Docker
7862,Heroku
7862,Kubernetes
7862,Linux
7862,MacOS
7862,Slack
7863,Microsoft Azure
7892,AWS
7892,Docker
7892,Google Cloud Platform
7892,Heroku
7892,Linux
7865,AWS
7865,Docker
7865,MacOS
7868,Microsoft Azure
7868,Windows
7873,iOS
7873,MacOS
7873,Windows
7878,Windows
7881,Arduino
7881,Linux
7881,Microsoft Azure
7881,Windows
7884,Android
7884,Arduino
7884,Linux
7884,Windows
7888,AWS
7888,Docker
7888,Linux
7889,Linux
7893,Android
7893,AWS
7893,Docker
7893,Google Cloud Platform
7894,Linux
7894,Windows
7901,Windows
7902,Docker
7902,Linux
7907,Android
7907,Linux
7907,Windows
7909,AWS
7909,Slack
7909,Windows
7910,Microsoft Azure
7913,Android
7913,iOS
7915,Android
7944,Docker
7944,Linux
7944,Windows
7926,Android
7926,Linux
7933,AWS
7933,Docker
7934,Arduino
7934,Docker
7934,Heroku
7934,Kubernetes
7934,MacOS
7934,Microsoft Azure
7934,Raspberry Pi
7934,WordPress
7936,Docker
7936,Heroku
7936,Linux
7936,MacOS
7936,Raspberry Pi
7936,Windows
7941,AWS
7941,Docker
7941,Google Cloud Platform
7941,Linux
7947,AWS
7947,Docker
7947,Heroku
7947,Linux
7947,MacOS
7947,Slack
7947,Windows
7951,Docker
7951,Linux
7951,Windows
7954,Docker
7954,Heroku
7957,AWS
7957,Docker
7957,MacOS
7957,Microsoft Azure
7957,Slack
7957,Windows
7958,Linux
7959,Linux
7959,Windows
7962,Linux
7962,Slack
7962,Windows
7964,AWS
7964,Docker
7964,Kubernetes
7964,Linux
7967,Android
7967,Arduino
7967,Raspberry Pi
7967,Windows
7968,WordPress
7975,Windows
7976,Android
7976,AWS
7976,iOS
7976,Linux
7976,MacOS
7976,Microsoft Azure
7976,Slack
7976,Windows
7976,WordPress
7985,Android
7985,AWS
7985,Docker
7985,Heroku
7985,iOS
7985,Linux
7985,MacOS
7985,WordPress
7986,Docker
7986,Linux
7986,Microsoft Azure
7986,Windows
7988,Slack
7988,Windows
7988,WordPress
7993,AWS
7993,Linux
7994,Windows
7994,WordPress
8020,Microsoft Azure
8020,Windows
7996,Android
7996,iOS
7996,Linux
7996,Microsoft Azure
7996,Raspberry Pi
7996,Slack
7996,Windows
7998,Heroku
7998,Slack
8000,Windows
8000,WordPress
8001,Microsoft Azure
8001,Windows
8002,AWS
8002,Docker
8002,Google Cloud Platform
8002,Heroku
8002,iOS
8002,Kubernetes
8002,MacOS
8002,Slack
8004,Linux
8004,MacOS
8004,Slack
8004,Windows
8004,WordPress
8005,AWS
8005,Docker
8005,Kubernetes
8005,Linux
8005,Slack
8005,Windows
8006,AWS
8006,Linux
8006,Windows
8007,Docker
8007,iOS
8007,Linux
8007,MacOS
8007,Raspberry Pi
8017,Android
8017,AWS
8017,Docker
8017,Google Cloud Platform
8017,Linux
8017,Microsoft Azure
8017,Windows
8021,Docker
8021,Kubernetes
8021,MacOS
8021,Slack
8023,Linux
8024,Other(s):
8026,AWS
8026,iOS
8026,MacOS
8026,Windows
8030,AWS
8030,Docker
8030,Linux
8030,MacOS
8030,Slack
8030,Windows
8030,Other(s):
8033,Android
8033,Docker
8033,iOS
8033,Linux
8033,Windows
8041,Android
8041,Arduino
8041,AWS
8041,Google Cloud Platform
8041,iOS
8041,Linux
8041,MacOS
8041,Microsoft Azure
8041,Raspberry Pi
8041,Slack
8041,Windows
8041,WordPress
8043,Android
8043,Arduino
8043,AWS
8043,Docker
8043,Google Cloud Platform
8043,Kubernetes
8043,Linux
8047,Android
8047,Windows
8048,Docker
8048,Linux
8048,Windows
8049,Android
8049,Linux
8049,Slack
8049,Windows
8050,Docker
8050,MacOS
8050,Windows
8056,Linux
8056,Raspberry Pi
8056,Windows
8063,Microsoft Azure
8064,Docker
8064,Kubernetes
8064,Linux
8064,Windows
8067,AWS
8067,Docker
8067,Linux
8133,Linux
8133,Windows
8133,WordPress
8071,AWS
8071,Docker
8071,Kubernetes
8071,Linux
8071,Microsoft Azure
8071,Slack
8071,Windows
8079,Slack
8079,Windows
8083,Linux
8083,Windows
8084,AWS
8084,Docker
8084,Kubernetes
8084,Linux
8084,MacOS
8084,Raspberry Pi
8084,Slack
8085,Android
8085,Google Cloud Platform
8086,Docker
8086,Heroku
8086,Kubernetes
8086,Linux
8086,Other(s):
8091,Android
8096,Android
8096,Docker
8096,Linux
8096,Microsoft Azure
8096,Slack
8096,Windows
8097,AWS
8098,Microsoft Azure
8098,Windows
8101,Google Cloud Platform
8101,Linux
8102,Android
8102,Arduino
8102,AWS
8102,Docker
8102,Google Cloud Platform
8102,Kubernetes
8102,Linux
8102,MacOS
8102,Raspberry Pi
8102,Slack
8105,Linux
8105,MacOS
8105,Slack
8109,Arduino
8109,Docker
8109,Windows
8112,AWS
8112,Docker
8112,Linux
8112,MacOS
8112,Raspberry Pi
8112,Slack
8112,Windows
8115,AWS
8115,Docker
8115,Kubernetes
8115,Linux
8115,MacOS
8115,Slack
8115,Windows
8118,Arduino
8118,AWS
8118,Docker
8118,Linux
8118,MacOS
8118,Raspberry Pi
8135,Windows
8145,Microsoft Azure
8146,AWS
8146,Docker
8146,Kubernetes
8146,Linux
8146,MacOS
8146,Slack
8153,Android
8153,Docker
8153,Google Cloud Platform
8153,iOS
8153,Linux
8153,MacOS
8153,Microsoft Azure
8153,Windows
8154,AWS
8154,Docker
8154,Linux
8154,MacOS
8154,Slack
8154,Windows
8154,WordPress
8167,Windows
8195,Android
8195,Arduino
8195,Docker
8195,Google Cloud Platform
8195,iOS
8195,Linux
8195,MacOS
8195,Raspberry Pi
8195,Slack
8195,Windows
8176,Windows
8177,AWS
8177,Docker
8177,Linux
8177,Slack
8177,Windows
8182,Android
8182,Arduino
8182,AWS
8182,Docker
8182,Linux
8182,Slack
8182,Windows
8182,WordPress
8189,Android
8189,AWS
8189,Docker
8189,Linux
8189,Windows
8193,Arduino
8193,AWS
8193,iOS
8193,Kubernetes
8193,Linux
8193,Raspberry Pi
8194,Linux
8197,Windows
8198,AWS
8198,Heroku
8198,Linux
8198,Slack
8198,Windows
8198,WordPress
8200,AWS
8200,Docker
8200,Google Cloud Platform
8200,Heroku
8200,Kubernetes
8200,Linux
8200,Other(s):
8201,Docker
8201,Kubernetes
8201,Linux
8201,Microsoft Azure
8201,Windows
8202,Docker
8202,Heroku
8202,Linux
8202,MacOS
8202,Raspberry Pi
8202,Slack
8202,Windows
8205,AWS
8205,Docker
8205,Kubernetes
8205,Linux
8205,Raspberry Pi
8206,Linux
8208,Android
8208,AWS
8208,MacOS
8212,Docker
8212,MacOS
8213,AWS
8213,Docker
8213,Windows
8214,Android
8214,Docker
8214,Linux
8214,Slack
8216,Android
8216,Docker
8216,Linux
8218,AWS
8225,Android
8225,Docker
8225,Google Cloud Platform
8225,Heroku
8225,iOS
8225,Kubernetes
8225,Linux
8225,MacOS
8222,Windows
8230,Raspberry Pi
8230,Windows
8239,Windows
8241,iOS
8241,MacOS
8242,AWS
8242,Docker
8242,Google Cloud Platform
8242,Heroku
8242,Linux
8242,Slack
8245,Android
8245,Arduino
8245,AWS
8245,Docker
8245,Google Cloud Platform
8245,Linux
8245,Microsoft Azure
8245,Raspberry Pi
8245,Windows
8246,Android
8246,Windows
8250,Android
8250,Linux
8250,Windows
8254,Docker
8254,Kubernetes
8254,Linux
8254,Slack
8254,Windows
8258,Docker
8258,Linux
8258,Windows
8263,Android
8263,Linux
8263,Microsoft Azure
8263,Windows
8263,WordPress
8266,AWS
8266,iOS
8266,Linux
8264,Heroku
8264,Slack
8264,Windows
8267,Windows
8272,Linux
8273,Android
8273,iOS
8273,Linux
8273,MacOS
8276,Android
8276,iOS
8276,MacOS
8276,Windows
8281,AWS
8281,Linux
8281,Slack
8284,Android
8284,Arduino
8284,AWS
8284,Docker
8284,IBM Cloud or Watson
8284,Linux
8284,MacOS
8284,Slack
8287,Android
8287,Linux
8288,Android
8288,iOS
8288,Linux
8288,MacOS
8288,Windows
8296,Windows
8289,MacOS
8289,Slack
8289,WordPress
8290,Docker
8290,Heroku
8290,Slack
8297,AWS
8297,Docker
8297,Kubernetes
8297,Linux
8298,Windows
8299,Docker
8299,Linux
8303,Linux
8303,MacOS
8304,Docker
8304,Kubernetes
8308,AWS
8308,Docker
8308,Heroku
8308,Kubernetes
8308,Linux
8308,MacOS
8308,WordPress
8309,Linux
8309,Microsoft Azure
8309,Windows
8319,AWS
8319,Docker
8319,Linux
8319,MacOS
8319,Slack
8319,Windows
8321,Arduino
8321,Linux
8322,AWS
8322,Docker
8322,Heroku
8322,Linux
8325,Docker
8325,Google Cloud Platform
8325,Linux
8325,MacOS
8326,Docker
8332,AWS
8332,Docker
8328,Docker
8328,Linux
8328,MacOS
8328,Microsoft Azure
8331,Linux
8331,Windows
8334,AWS
8334,MacOS
8334,Slack
8334,WordPress
8340,Heroku
8340,Microsoft Azure
8340,Slack
8340,Windows
8342,Android
8342,Windows
8342,WordPress
8346,Linux
8346,Windows
8346,WordPress
8347,Docker
8347,Linux
8347,Windows
8347,Other(s):
8350,Docker
8350,Linux
8350,Windows
8352,Android
8352,AWS
8352,Docker
8352,Google Cloud Platform
8352,Heroku
8352,iOS
8352,Kubernetes
8352,Linux
8352,MacOS
8352,Raspberry Pi
8352,Slack
8352,Windows
8354,AWS
8354,Linux
8354,Microsoft Azure
8354,Raspberry Pi
8354,Windows
8354,WordPress
8356,iOS
8356,Windows
8358,AWS
8358,Google Cloud Platform
8360,AWS
8360,Linux
8360,Slack
