Respondent,DevType
8083,"Developer, back-end"
8083,"Developer, desktop or enterprise applications"
8083,"Developer, front-end"
8083,"Developer, full-stack"
8084,"Developer, back-end"
8084,"Developer, front-end"
8084,"Developer, full-stack"
8084,"Developer, QA or test"
8084,DevOps specialist
8084,Engineering manager
8085,Data or business analyst
8085,"Developer, mobile"
8085,"Engineer, data"
8086,"Developer, back-end"
8086,"Developer, full-stack"
8086,DevOps specialist
8086,"Engineer, site reliability"
8086,System administrator
8091,"Developer, mobile"
8096,"Developer, full-stack"
8097,Data scientist or machine learning specialist
8097,"Engineer, data"
8098,"Developer, back-end"
8098,"Developer, front-end"
8098,"Developer, full-stack"
8101,"Developer, back-end"
8102,"Developer, back-end"
8102,DevOps specialist
8102,"Engineer, site reliability"
8105,Academic researcher
8105,Data scientist or machine learning specialist
8105,Scientist
8109,Database administrator
8109,"Developer, back-end"
8109,"Developer, desktop or enterprise applications"
8109,"Developer, front-end"
8109,"Developer, full-stack"
8109,"Developer, mobile"
8109,DevOps specialist
8109,Educator
8112,Data scientist or machine learning specialist
8112,"Developer, full-stack"
8115,"Developer, full-stack"
8118,Data scientist or machine learning specialist
8135,Data or business analyst
8135,"Developer, back-end"
8135,"Engineer, data"
8145,"Developer, full-stack"
8145,DevOps specialist
8145,Product manager
8146,Data scientist or machine learning specialist
8146,"Engineer, data"
8153,Database administrator
8153,"Developer, back-end"
8153,"Developer, desktop or enterprise applications"
8153,"Developer, front-end"
8153,"Developer, full-stack"
8153,"Developer, mobile"
8153,DevOps specialist
8153,System administrator
8154,"Developer, QA or test"
8154,DevOps specialist
8167,"Developer, full-stack"
8167,System administrator
8195,"Developer, mobile"
8176,"Developer, desktop or enterprise applications"
8177,Academic researcher
8177,Data or business analyst
8177,Data scientist or machine learning specialist
8177,"Developer, full-stack"
8177,Scientist
8182,Academic researcher
8182,"Developer, full-stack"
8189,Academic researcher
8189,Designer
8189,"Developer, back-end"
8189,"Developer, embedded applications or devices"
8189,"Developer, front-end"
8189,"Developer, full-stack"
8189,"Developer, mobile"
8193,"Developer, QA or test"
8194,Database administrator
8194,Designer
8194,"Developer, back-end"
8194,"Developer, front-end"
8194,"Developer, full-stack"
8194,"Developer, QA or test"
8197,"Developer, back-end"
8198,"Developer, back-end"
8198,"Developer, front-end"
8198,"Developer, full-stack"
8198,"Developer, QA or test"
8200,"Developer, back-end"
8201,"Developer, back-end"
8201,DevOps specialist
8201,"Engineer, site reliability"
8202,Designer
8202,"Developer, back-end"
8202,"Developer, front-end"
8202,"Developer, full-stack"
8202,Student
8205,"Developer, back-end"
8205,"Developer, full-stack"
8206,"Developer, full-stack"
8208,"Developer, back-end"
8208,"Developer, full-stack"
8212,Database administrator
8212,"Developer, full-stack"
8213,Academic researcher
8213,Data scientist or machine learning specialist
8213,Database administrator
8213,Designer
8213,"Developer, back-end"
8213,"Developer, front-end"
8213,"Developer, full-stack"
8214,"Developer, embedded applications or devices"
8214,"Developer, front-end"
8214,"Developer, full-stack"
8214,DevOps specialist
8216,Data or business analyst
8216,"Developer, back-end"
8216,"Engineer, data"
8218,"Developer, back-end"
8218,"Developer, front-end"
8218,"Developer, full-stack"
8218,"Developer, QA or test"
8225,"Developer, front-end"
8225,"Developer, mobile"
8222,Data or business analyst
8222,"Developer, back-end"
8222,"Developer, desktop or enterprise applications"
8222,"Developer, QA or test"
8230,Data scientist or machine learning specialist
8239,Data or business analyst
8239,Database administrator
8241,"Developer, full-stack"
8241,"Developer, mobile"
8242,"Developer, full-stack"
8245,Senior executive/VP
8246,"Developer, mobile"
8250,"Developer, back-end"
8250,"Developer, desktop or enterprise applications"
8250,"Developer, full-stack"
8254,"Developer, back-end"
8254,"Developer, front-end"
8254,"Developer, full-stack"
8258,"Developer, back-end"
8258,"Developer, desktop or enterprise applications"
8263,"Developer, desktop or enterprise applications"
8263,"Developer, front-end"
8263,"Developer, full-stack"
8263,"Developer, QA or test"
8266,"Developer, back-end"
8266,"Developer, front-end"
8266,"Developer, full-stack"
8264,"Developer, full-stack"
8267,Data scientist or machine learning specialist
8267,Database administrator
8267,"Developer, desktop or enterprise applications"
8267,"Developer, front-end"
8267,"Developer, QA or test"
8267,"Engineer, data"
8267,System administrator
8272,Database administrator
8272,Designer
8272,"Developer, back-end"
8272,"Developer, front-end"
8272,"Developer, full-stack"
8272,System administrator
8273,"Developer, full-stack"
8273,"Developer, game or graphics"
8276,"Developer, full-stack"
8281,"Developer, back-end"
8281,"Developer, full-stack"
8284,Academic researcher
8284,"Developer, front-end"
8287,"Developer, back-end"
8287,"Developer, desktop or enterprise applications"
8287,"Developer, embedded applications or devices"
8287,"Developer, full-stack"
8288,Designer
8288,"Developer, front-end"
8288,"Developer, mobile"
8296,"Developer, back-end"
8289,Academic researcher
8289,Database administrator
8289,"Developer, back-end"
8289,"Developer, front-end"
8289,"Developer, QA or test"
8289,Scientist
8290,"Developer, back-end"
8290,"Developer, front-end"
8290,"Developer, full-stack"
8290,DevOps specialist
8297,"Developer, back-end"
8298,"Developer, full-stack"
8298,"Developer, mobile"
8298,"Developer, QA or test"
8299,"Developer, embedded applications or devices"
8299,DevOps specialist
8303,Data or business analyst
8303,"Developer, full-stack"
8303,"Engineer, data"
8304,"Developer, back-end"
8304,"Developer, full-stack"
8308,"Developer, full-stack"
8309,"Developer, desktop or enterprise applications"
8309,"Developer, full-stack"
8309,DevOps specialist
8319,"Developer, full-stack"
8321,"Developer, back-end"
8321,"Developer, front-end"
8321,"Developer, full-stack"
8321,"Developer, mobile"
8321,System administrator
8322,"Developer, back-end"
8325,Data or business analyst
8325,Data scientist or machine learning specialist
8325,Designer
8325,Scientist
8326,"Developer, back-end"
8326,"Developer, front-end"
8326,Student
8332,"Developer, back-end"
8332,"Developer, front-end"
8332,"Developer, full-stack"
8328,Data scientist or machine learning specialist
8328,"Developer, full-stack"
8328,Engineering manager
8331,"Developer, front-end"
8334,"Developer, back-end"
8334,"Developer, front-end"
8334,"Developer, full-stack"
8334,Engineering manager
8334,Product manager
8334,Senior executive/VP
8340,"Developer, back-end"
8340,"Developer, desktop or enterprise applications"
8340,"Developer, front-end"
8340,"Developer, full-stack"
8342,"Developer, back-end"
8342,"Developer, front-end"
8342,"Developer, full-stack"
8342,"Developer, mobile"
8346,"Developer, back-end"
8346,"Developer, front-end"
8346,"Developer, full-stack"
8346,Educator
8347,Academic researcher
8347,Designer
8347,"Developer, desktop or enterprise applications"
8347,"Developer, embedded applications or devices"
8347,Educator
8347,Scientist
8347,Student
8347,System administrator
8350,Data or business analyst
8350,Database administrator
8350,"Developer, full-stack"
8350,System administrator
8352,Database administrator
8352,"Developer, back-end"
8352,"Developer, desktop or enterprise applications"
8352,"Developer, embedded applications or devices"
8352,"Developer, front-end"
8352,"Developer, full-stack"
8352,"Developer, game or graphics"
8352,"Developer, mobile"
8352,DevOps specialist
8354,Database administrator
8354,Designer
8354,"Developer, front-end"
8356,"Developer, full-stack"
8358,"Developer, back-end"
8358,"Developer, full-stack"
8360,"Developer, back-end"
8370,"Developer, full-stack"
8371,"Developer, back-end"
8371,"Developer, desktop or enterprise applications"
8371,"Developer, front-end"
8371,"Developer, full-stack"
8371,"Developer, game or graphics"
8374,"Developer, full-stack"
8375,"Developer, back-end"
8375,"Developer, mobile"
8376,"Developer, back-end"
8379,"Developer, back-end"
8379,"Developer, embedded applications or devices"
8379,"Developer, game or graphics"
8379,Student
8389,"Developer, full-stack"
8389,"Developer, mobile"
8389,Scientist
8383,"Developer, back-end"
8383,"Developer, desktop or enterprise applications"
8383,"Developer, front-end"
8383,"Developer, full-stack"
8383,"Developer, mobile"
8397,"Developer, back-end"
8397,"Developer, full-stack"
8397,DevOps specialist
8397,System administrator
8400,"Developer, full-stack"
8404,"Developer, back-end"
8404,"Developer, desktop or enterprise applications"
8404,"Developer, embedded applications or devices"
8404,"Developer, front-end"
8404,"Developer, full-stack"
8404,"Developer, mobile"
8404,DevOps specialist
8406,"Developer, back-end"
8406,"Developer, QA or test"
8406,DevOps specialist
8406,"Engineer, site reliability"
8406,System administrator
8408,"Developer, back-end"
8408,"Developer, desktop or enterprise applications"
8408,"Engineer, data"
8410,Database administrator
8410,"Developer, back-end"
8410,"Developer, desktop or enterprise applications"
8410,"Developer, front-end"
8410,"Developer, full-stack"
8414,"Developer, back-end"
8414,DevOps specialist
8422,"Developer, full-stack"
8422,"Developer, mobile"
8417,"Developer, full-stack"
8417,"Developer, mobile"
8417,"Engineer, data"
8419,Data scientist or machine learning specialist
8420,Database administrator
8420,"Developer, back-end"
8420,DevOps specialist
8420,"Engineer, data"
8420,"Engineer, site reliability"
8421,"Developer, back-end"
8421,"Developer, QA or test"
8421,DevOps specialist
8423,"Developer, full-stack"
8427,"Developer, front-end"
8429,Designer
8429,"Developer, back-end"
8429,"Developer, front-end"
8429,"Developer, full-stack"
8431,"Developer, full-stack"
8433,Academic researcher
8433,"Developer, back-end"
8433,Scientist
8433,System administrator
8436,"Developer, full-stack"
8439,Database administrator
8439,"Developer, full-stack"
8439,System administrator
8440,"Developer, full-stack"
8440,Student
8444,Data or business analyst
8444,"Engineer, data"
8444,Product manager
8446,"Developer, full-stack"
8450,Database administrator
8450,"Developer, desktop or enterprise applications"
8450,"Developer, full-stack"
8450,Student
8451,"Developer, full-stack"
8452,"Developer, back-end"
8452,"Developer, desktop or enterprise applications"
8452,"Developer, front-end"
8452,"Developer, full-stack"
8456,Database administrator
8456,"Developer, back-end"
8456,"Developer, desktop or enterprise applications"
8456,"Developer, full-stack"
8456,DevOps specialist
8456,System administrator
8459,"Developer, back-end"
8459,"Developer, desktop or enterprise applications"
8463,"Developer, front-end"
8469,"Developer, desktop or enterprise applications"
8481,"Developer, mobile"
8471,"Developer, full-stack"
8472,"Developer, back-end"
8472,"Developer, front-end"
8472,"Developer, full-stack"
8472,"Developer, mobile"
8475,"Developer, back-end"
8475,"Developer, desktop or enterprise applications"
8476,"Developer, back-end"
8476,"Developer, desktop or enterprise applications"
8476,"Developer, front-end"
8476,"Developer, mobile"
8482,Designer
8482,"Developer, back-end"
8482,"Developer, embedded applications or devices"
8482,"Developer, front-end"
8482,"Developer, full-stack"
8482,"Developer, mobile"
8482,"Developer, QA or test"
8484,"Developer, back-end"
8484,"Developer, desktop or enterprise applications"
8484,"Developer, front-end"
8484,"Developer, full-stack"
8484,"Developer, mobile"
8485,"Developer, back-end"
8485,"Developer, front-end"
8485,"Developer, full-stack"
8496,"Developer, back-end"
8493,Academic researcher
8493,Data or business analyst
8493,"Developer, back-end"
8493,"Developer, desktop or enterprise applications"
8493,"Developer, embedded applications or devices"
8493,"Developer, front-end"
8493,"Developer, full-stack"
8502,"Developer, back-end"
8502,"Developer, desktop or enterprise applications"
8502,"Developer, embedded applications or devices"
8502,"Developer, front-end"
8502,"Developer, full-stack"
8502,Educator
8502,Engineering manager
8503,"Developer, back-end"
8503,"Developer, desktop or enterprise applications"
8503,"Developer, full-stack"
8519,"Developer, full-stack"
8504,"Developer, back-end"
8504,"Developer, front-end"
8504,"Developer, full-stack"
8504,"Developer, mobile"
8504,System administrator
8505,"Developer, front-end"
8506,Data scientist or machine learning specialist
8511,"Developer, back-end"
8511,"Developer, front-end"
8513,"Developer, back-end"
8513,"Developer, desktop or enterprise applications"
8513,"Developer, full-stack"
8518,"Developer, back-end"
8518,"Developer, front-end"
8518,"Developer, full-stack"
8518,"Developer, QA or test"
8518,DevOps specialist
8518,System administrator
8522,Data or business analyst
8522,Database administrator
8522,"Developer, back-end"
8522,"Developer, QA or test"
8522,"Engineer, data"
8526,"Developer, back-end"
8526,"Developer, full-stack"
8526,"Developer, mobile"
8527,"Developer, back-end"
8527,"Developer, embedded applications or devices"
8529,Designer
8529,"Developer, back-end"
8529,"Developer, desktop or enterprise applications"
8529,"Developer, embedded applications or devices"
8529,"Developer, front-end"
8529,"Developer, full-stack"
8529,DevOps specialist
8530,Data scientist or machine learning specialist
8530,Designer
8530,"Engineer, data"
8535,"Developer, desktop or enterprise applications"
8536,"Developer, front-end"
8536,"Developer, mobile"
8538,"Developer, front-end"
8538,"Developer, full-stack"
8541,"Developer, back-end"
8541,"Developer, full-stack"
8542,DevOps specialist
8542,"Engineer, site reliability"
8542,System administrator
8545,Database administrator
8545,Designer
8545,"Developer, back-end"
8545,"Developer, front-end"
8545,"Developer, full-stack"
8545,"Developer, mobile"
8547,"Developer, full-stack"
8548,Data or business analyst
8548,Database administrator
8548,"Developer, full-stack"
8548,"Engineer, site reliability"
8548,System administrator
8551,"Developer, back-end"
8555,"Developer, back-end"
8555,"Developer, desktop or enterprise applications"
8555,"Developer, mobile"
8557,"Developer, full-stack"
8557,"Developer, mobile"
8558,"Developer, back-end"
8558,"Developer, desktop or enterprise applications"
8558,"Developer, front-end"
8558,"Developer, full-stack"
8558,"Developer, game or graphics"
8560,"Developer, full-stack"
8560,"Developer, mobile"
8562,"Developer, back-end"
8562,"Developer, front-end"
8562,"Developer, full-stack"
8563,"Developer, back-end"
8563,"Developer, QA or test"
8563,DevOps specialist
8563,"Engineer, site reliability"
8567,Database administrator
8567,Designer
8567,"Developer, full-stack"
8568,"Developer, back-end"
8568,"Engineer, site reliability"
8572,"Developer, back-end"
8573,"Developer, full-stack"
8573,Scientist
8575,"Developer, full-stack"
8575,Product manager
8583,Database administrator
8583,"Developer, back-end"
8583,"Developer, desktop or enterprise applications"
8583,"Developer, front-end"
8583,"Developer, full-stack"
8583,DevOps specialist
8576,"Developer, back-end"
8576,"Developer, desktop or enterprise applications"
8576,"Developer, full-stack"
8576,"Developer, game or graphics"
8578,"Developer, full-stack"
8578,"Developer, mobile"
8589,Database administrator
8589,"Developer, back-end"
8589,"Developer, front-end"
8589,"Developer, full-stack"
8589,DevOps specialist
8592,"Developer, back-end"
8592,"Developer, front-end"
8592,"Developer, full-stack"
8596,"Developer, full-stack"
8603,"Developer, full-stack"
8607,"Developer, back-end"
8607,"Developer, full-stack"
8607,"Developer, mobile"
8608,"Developer, back-end"
8608,"Developer, front-end"
8608,"Developer, full-stack"
8608,Student
8614,"Developer, back-end"
8614,"Developer, desktop or enterprise applications"
8614,"Developer, full-stack"
8621,"Developer, back-end"
8621,"Developer, front-end"
8621,"Developer, full-stack"
8616,Data or business analyst
8616,Data scientist or machine learning specialist
8616,"Developer, back-end"
8616,"Developer, embedded applications or devices"
8616,"Developer, front-end"
8616,"Developer, full-stack"
8616,"Developer, game or graphics"
8616,"Developer, mobile"
8616,"Developer, QA or test"
8616,Engineering manager
8616,Product manager
8618,"Developer, desktop or enterprise applications"
8618,"Developer, mobile"
8619,Database administrator
8619,"Developer, full-stack"
8619,DevOps specialist
8625,"Developer, back-end"
8625,"Developer, front-end"
8625,"Developer, full-stack"
8626,"Developer, back-end"
8626,"Developer, full-stack"
8626,DevOps specialist
8626,"Engineer, data"
8627,"Developer, front-end"
8627,"Developer, full-stack"
8630,Designer
8630,"Developer, back-end"
8630,"Developer, front-end"
8630,"Developer, mobile"
8630,Educator
8630,Product manager
8630,System administrator
8631,"Developer, mobile"
8631,"Developer, QA or test"
8632,Academic researcher
8632,Database administrator
8632,"Developer, back-end"
8632,"Developer, desktop or enterprise applications"
8632,"Developer, front-end"
8632,"Developer, full-stack"
8632,"Developer, mobile"
8632,"Developer, QA or test"
8632,DevOps specialist
8632,System administrator
8637,"Developer, front-end"
8639,"Developer, back-end"
8639,"Developer, full-stack"
8639,DevOps specialist
8642,"Developer, full-stack"
8643,"Developer, back-end"
8643,"Developer, full-stack"
8643,"Developer, mobile"
8643,System administrator
8646,Database administrator
8646,Designer
8646,"Developer, back-end"
8646,"Developer, desktop or enterprise applications"
8646,"Developer, front-end"
8646,"Developer, full-stack"
8646,"Developer, mobile"
8646,"Engineer, site reliability"
8646,System administrator
8649,"Developer, full-stack"
8651,"Developer, back-end"
8651,"Developer, desktop or enterprise applications"
8651,"Developer, front-end"
8651,"Developer, full-stack"
8652,"Developer, back-end"
8652,"Developer, full-stack"
8653,"Developer, full-stack"
8685,"Developer, full-stack"
8654,"Developer, mobile"
8662,"Developer, back-end"
8662,DevOps specialist
8662,System administrator
8663,Designer
8663,"Developer, back-end"
8663,"Developer, full-stack"
8663,"Developer, QA or test"
8664,"Developer, back-end"
8664,"Developer, front-end"
8664,"Developer, full-stack"
8670,"Developer, back-end"
8670,"Developer, full-stack"
8670,"Developer, mobile"
8670,DevOps specialist
8670,"Engineer, site reliability"
8670,Engineering manager
8672,"Developer, front-end"
8672,"Developer, full-stack"
8673,Data scientist or machine learning specialist
8673,Database administrator
8673,"Developer, back-end"
8673,"Developer, front-end"
8673,"Developer, full-stack"
8673,"Developer, mobile"
8673,DevOps specialist
8673,"Engineer, data"
8673,System administrator
8674,"Developer, full-stack"
8674,Engineering manager
8674,Senior executive/VP
8688,Data scientist or machine learning specialist
8688,"Developer, full-stack"
8689,"Developer, back-end"
8689,"Developer, desktop or enterprise applications"
8689,"Developer, mobile"
8690,"Engineer, data"
8691,"Developer, back-end"
8691,DevOps specialist
8691,Educator
8691,Product manager
8698,"Developer, desktop or enterprise applications"
8698,"Developer, embedded applications or devices"
8698,"Developer, front-end"
8698,"Developer, full-stack"
8699,"Developer, back-end"
8699,"Developer, desktop or enterprise applications"
8699,"Developer, embedded applications or devices"
8699,"Developer, front-end"
8699,"Developer, full-stack"
8699,"Developer, mobile"
8699,"Developer, QA or test"
8705,Database administrator
8705,"Developer, back-end"
8705,"Developer, desktop or enterprise applications"
8705,"Developer, embedded applications or devices"
8712,"Developer, back-end"
8712,"Developer, front-end"
8712,"Developer, full-stack"
8717,"Developer, back-end"
8718,"Developer, back-end"
8718,"Developer, embedded applications or devices"
8718,"Developer, front-end"
8718,"Engineer, data"
8721,Designer
8721,"Developer, front-end"
8721,"Developer, full-stack"
8724,"Developer, back-end"
8724,"Developer, desktop or enterprise applications"
8728,"Developer, back-end"
8728,"Developer, embedded applications or devices"
8728,"Developer, front-end"
8728,"Developer, full-stack"
8733,Database administrator
8733,"Developer, full-stack"
8733,Engineering manager
8733,System administrator
8740,"Developer, back-end"
8742,"Developer, back-end"
8742,"Developer, full-stack"
8742,"Developer, mobile"
8744,Academic researcher
8744,Database administrator
8744,"Developer, back-end"
8744,"Developer, game or graphics"
8744,"Developer, mobile"
8744,"Developer, QA or test"
8744,"Engineer, site reliability"
8752,Designer
8752,"Developer, back-end"
8752,"Developer, desktop or enterprise applications"
8752,"Developer, front-end"
8752,"Developer, full-stack"
8752,Educator
8753,"Developer, back-end"
8753,"Developer, front-end"
8753,"Developer, full-stack"
8753,"Developer, game or graphics"
8753,"Developer, mobile"
8755,"Developer, back-end"
8755,"Developer, full-stack"
8759,"Developer, back-end"
8759,"Developer, front-end"
8759,"Developer, full-stack"
8759,Product manager
8759,System administrator
8760,"Developer, mobile"
8761,"Developer, back-end"
8761,"Developer, front-end"
8761,"Developer, full-stack"
8761,Student
8763,Database administrator
8763,"Developer, back-end"
8763,"Developer, full-stack"
8763,Student
8791,"Developer, back-end"
8776,"Developer, back-end"
8776,DevOps specialist
8777,"Developer, back-end"
8777,"Developer, desktop or enterprise applications"
8777,"Developer, front-end"
8777,"Developer, full-stack"
8780,"Developer, back-end"
8780,"Developer, front-end"
8780,"Developer, full-stack"
8780,"Developer, QA or test"
8784,Database administrator
8784,Designer
8784,"Developer, back-end"
8784,"Developer, front-end"
8784,"Developer, full-stack"
8784,"Developer, QA or test"
8786,"Developer, back-end"
8786,"Developer, desktop or enterprise applications"
8786,"Developer, full-stack"
8788,Database administrator
8788,"Developer, back-end"
8788,DevOps specialist
8788,System administrator
8796,"Developer, full-stack"
8797,"Developer, full-stack"
8798,"Developer, back-end"
8798,"Developer, full-stack"
8798,Engineering manager
8799,"Developer, QA or test"
8801,"Developer, back-end"
8801,"Developer, desktop or enterprise applications"
8805,"Developer, full-stack"
8805,Educator
8805,Student
8820,"Developer, full-stack"
8806,Database administrator
8806,"Developer, back-end"
8806,"Developer, full-stack"
8806,Educator
8806,"Engineer, site reliability"
8806,System administrator
8807,"Developer, back-end"
8810,Academic researcher
8810,Scientist
8813,Database administrator
8813,"Developer, back-end"
8813,"Developer, full-stack"
8813,DevOps specialist
8817,Data or business analyst
8817,Data scientist or machine learning specialist
8817,Database administrator
8817,"Developer, back-end"
8817,"Developer, desktop or enterprise applications"
8817,"Developer, full-stack"
8817,"Developer, mobile"
8817,DevOps specialist
8817,"Engineer, data"
8818,"Developer, back-end"
8818,"Developer, front-end"
8818,"Developer, full-stack"
8821,Database administrator
8821,Designer
8821,"Developer, back-end"
8821,"Developer, desktop or enterprise applications"
8821,"Developer, front-end"
8821,"Developer, full-stack"
8821,"Developer, mobile"
8821,"Developer, QA or test"
8825,"Developer, full-stack"
8826,"Engineer, site reliability"
8830,"Developer, back-end"
8830,"Developer, front-end"
8830,"Developer, full-stack"
8831,Data or business analyst
8831,Data scientist or machine learning specialist
8831,System administrator
8838,"Developer, back-end"
8838,"Developer, full-stack"
8855,"Developer, full-stack"
8839,"Developer, QA or test"
8841,"Developer, back-end"
8841,"Developer, front-end"
8843,Database administrator
8843,Designer
8843,"Developer, back-end"
8843,"Developer, front-end"
8843,"Developer, full-stack"
8843,"Developer, QA or test"
8843,DevOps specialist
8848,"Developer, back-end"
8848,"Developer, desktop or enterprise applications"
8848,"Developer, embedded applications or devices"
8848,"Developer, front-end"
8848,"Developer, full-stack"
8848,"Developer, mobile"
8848,Senior executive/VP
8850,"Developer, back-end"
8850,"Developer, front-end"
8850,"Developer, full-stack"
8850,"Developer, QA or test"
8850,DevOps specialist
8853,"Developer, full-stack"
8853,Product manager
8863,Data or business analyst
8863,Database administrator
8863,"Developer, back-end"
8863,"Developer, desktop or enterprise applications"
8863,"Developer, front-end"
8863,"Developer, full-stack"
8863,"Engineer, data"
8864,Data scientist or machine learning specialist
8864,"Engineer, data"
8864,System administrator
8869,Database administrator
8869,"Developer, back-end"
8869,"Developer, desktop or enterprise applications"
8869,"Developer, front-end"
8869,"Developer, full-stack"
8869,"Developer, mobile"
8869,System administrator
8871,"Developer, back-end"
8871,"Developer, front-end"
8871,"Developer, full-stack"
8872,Database administrator
8872,"Developer, back-end"
8872,"Engineer, data"
8876,Data scientist or machine learning specialist
8876,"Developer, full-stack"
8876,DevOps specialist
8876,Scientist
8877,"Developer, back-end"
8877,"Engineer, data"
8880,"Developer, back-end"
8880,"Developer, desktop or enterprise applications"
8880,"Developer, full-stack"
8882,Database administrator
8882,"Developer, desktop or enterprise applications"
8882,"Developer, full-stack"
8882,"Developer, QA or test"
8882,"Engineer, site reliability"
8884,"Developer, desktop or enterprise applications"
8884,"Developer, embedded applications or devices"
8885,Data scientist or machine learning specialist
8885,"Developer, back-end"
8885,DevOps specialist
8887,"Developer, back-end"
8887,"Developer, desktop or enterprise applications"
8887,"Developer, front-end"
8889,"Developer, back-end"
8889,"Developer, embedded applications or devices"
8889,"Developer, front-end"
8889,"Developer, full-stack"
8889,"Developer, game or graphics"
8891,Data or business analyst
8891,Data scientist or machine learning specialist
8891,Database administrator
8891,"Developer, back-end"
8891,"Developer, desktop or enterprise applications"
8891,"Developer, full-stack"
8891,DevOps specialist
8898,"Developer, full-stack"
8901,"Developer, desktop or enterprise applications"
8901,"Developer, front-end"
8902,"Developer, full-stack"
8906,"Developer, front-end"
8906,"Developer, full-stack"
8907,Designer
8907,"Developer, back-end"
8907,"Developer, desktop or enterprise applications"
8907,Student
8913,"Developer, back-end"
8913,"Developer, full-stack"
8913,"Developer, QA or test"
8908,Data or business analyst
8908,"Developer, full-stack"
8908,Product manager
8909,"Developer, full-stack"
8911,"Developer, full-stack"
8919,Data or business analyst
8919,Database administrator
8919,Designer
8919,"Developer, back-end"
8919,"Developer, desktop or enterprise applications"
8919,"Developer, front-end"
8919,"Developer, full-stack"
8919,"Engineer, site reliability"
8919,Engineering manager
8919,Product manager
8919,Student
8922,"Developer, back-end"
8922,"Developer, desktop or enterprise applications"
8922,"Developer, embedded applications or devices"
8922,"Developer, game or graphics"
8922,"Developer, mobile"
8922,"Developer, QA or test"
8924,"Developer, back-end"
8924,DevOps specialist
8924,Student
8931,"Developer, back-end"
8931,"Developer, desktop or enterprise applications"
8931,DevOps specialist
8931,Student
8932,"Developer, back-end"
8932,"Developer, desktop or enterprise applications"
8932,"Developer, full-stack"
8936,Database administrator
8936,"Developer, back-end"
8936,"Developer, embedded applications or devices"
8936,System administrator
8937,"Developer, full-stack"
8938,Database administrator
8938,"Developer, full-stack"
8938,System administrator
8939,"Developer, back-end"
8939,"Developer, embedded applications or devices"
8939,"Developer, full-stack"
8939,DevOps specialist
8939,"Engineer, data"
8939,Student
8939,System administrator
8946,Database administrator
8946,"Developer, back-end"
8946,"Developer, desktop or enterprise applications"
8946,"Developer, embedded applications or devices"
8946,System administrator
8948,"Developer, desktop or enterprise applications"
8949,"Developer, back-end"
8949,"Developer, full-stack"
8951,"Developer, full-stack"
8952,"Developer, desktop or enterprise applications"
8952,"Developer, front-end"
8952,Scientist
8958,"Developer, full-stack"
8959,"Developer, back-end"
8959,"Developer, full-stack"
8967,Database administrator
8967,"Developer, full-stack"
8967,System administrator
8968,"Developer, back-end"
8971,"Developer, mobile"
8976,"Developer, back-end"
8976,"Developer, front-end"
8976,"Developer, full-stack"
8976,"Engineer, data"
8978,Database administrator
8978,"Developer, back-end"
8978,DevOps specialist
8979,"Developer, full-stack"
8998,"Developer, desktop or enterprise applications"
8998,"Developer, embedded applications or devices"
8980,Database administrator
8980,Designer
8980,"Developer, back-end"
8980,"Developer, desktop or enterprise applications"
8980,"Developer, embedded applications or devices"
8980,"Developer, full-stack"
8980,"Engineer, data"
8980,Engineering manager
8980,System administrator
8983,Designer
8983,"Developer, back-end"
8983,"Developer, front-end"
8983,"Developer, full-stack"
8983,"Developer, mobile"
8983,"Developer, QA or test"
8985,Academic researcher
8985,"Developer, back-end"
8985,"Developer, desktop or enterprise applications"
8985,"Developer, front-end"
8985,"Developer, full-stack"
8986,"Developer, back-end"
8986,"Developer, desktop or enterprise applications"
8986,"Developer, front-end"
8986,"Developer, full-stack"
8986,DevOps specialist
8989,"Developer, full-stack"
8993,"Developer, back-end"
8996,Database administrator
8996,"Developer, back-end"
8996,"Developer, desktop or enterprise applications"
8996,"Developer, front-end"
9000,"Developer, full-stack"
9003,"Developer, full-stack"
9007,"Developer, desktop or enterprise applications"
9007,"Developer, embedded applications or devices"
9009,Database administrator
9009,"Developer, full-stack"
9010,"Developer, desktop or enterprise applications"
9010,"Developer, embedded applications or devices"
9010,"Developer, QA or test"
9015,"Developer, full-stack"
9016,"Developer, front-end"
9016,"Developer, full-stack"
9017,"Developer, back-end"
9017,"Developer, front-end"
9017,"Developer, full-stack"
9019,"Developer, back-end"
9019,"Developer, front-end"
9019,"Developer, full-stack"
9021,"Developer, back-end"
9023,Designer
9023,"Developer, full-stack"
9023,Educator
9024,DevOps specialist
9026,"Developer, back-end"
9026,"Developer, desktop or enterprise applications"
9026,"Developer, game or graphics"
9028,"Developer, back-end"
9028,"Developer, front-end"
9028,"Developer, full-stack"
9028,"Developer, game or graphics"
9028,"Developer, mobile"
9028,"Developer, QA or test"
9030,"Developer, back-end"
9030,"Developer, full-stack"
9032,"Developer, full-stack"
9033,"Developer, front-end"
9035,"Developer, back-end"
9040,DevOps specialist
9039,"Developer, full-stack"
9049,"Developer, full-stack"
9053,"Developer, full-stack"
9051,"Developer, full-stack"
9054,Data or business analyst
9054,Data scientist or machine learning specialist
9054,"Developer, full-stack"
9054,Product manager
9059,"Developer, full-stack"
9080,"Developer, full-stack"
9065,Data or business analyst
9065,Database administrator
9065,"Developer, full-stack"
9065,System administrator
9068,"Developer, desktop or enterprise applications"
9068,"Developer, embedded applications or devices"
9072,Database administrator
9072,Designer
9072,"Developer, back-end"
