Respondent,Country,Employment,Student,EdLevel,UndergradMajor,DevType,YearsCode,YearsCodePro,LanguageWorkedWith,DatabaseWorkedWith,PlatformWorkedWith,DevEnviron,OpSys,ConvertedComp,WorkWeekHrs,WorkRemote,CareerSat,JobSat,Age,Gender,GenderMain
5412,France,Employed full-time,No,"Bachelor’s degree (BA, BS, B.Eng., etc.)","Computer science, computer engineering, or software engineering","Developer, full-stack",10,8,Bash/Shell/PowerShell;JavaScript,SQLite,Linux;MacOS,Emacs;Visual Studio Code,MacOS,42622,38.5,Less than once per month / Never,Slightly dissatisfied,Neither satisfied nor dissatisfied,34,Man,Man
5435,Ireland,Employed full-time,No,"Master’s degree (MA, MS, M.Eng., MBA, etc.)","Computer science, computer engineering, or software engineering","Developer, full-stack",5,1,HTML/CSS;JavaScript;Python;TypeScript,DynamoDB,Android;AWS;Docker;iOS,Visual Studio Code,Windows,44432,37.5,Less than once per month / Never,Slightly satisfied,Slightly satisfied,23,Man,Man
5415,India,Employed full-time,No,"Bachelor’s degree (BA, BS, B.Eng., etc.)","Computer science, computer engineering, or software engineering","Developer, front-end",4,4,C;C++;C#;HTML/CSS;JavaScript;SQL;TypeScript;Other(s):,Firebase;Microsoft SQL Server,Google Cloud Platform;Heroku,Visual Studio;Visual Studio Code,Linux-based,6717,50,Less than once per month / Never,Very satisfied,Slightly satisfied,26,Man,Man
5418,United States,Employed full-time,No,"Bachelor’s degree (BA, BS, B.Eng., etc.)","Computer science, computer engineering, or software engineering","Developer, full-stack",7,5,HTML/CSS;JavaScript;SQL,DynamoDB;Microsoft SQL Server,AWS;Google Cloud Platform;Slack;Windows;WordPress,Visual Studio Code,MacOS,85000,45,"More than half, but not all, the time",Slightly satisfied,Slightly satisfied,26,Man,Man
5422,India,Employed full-time,No,"Bachelor’s degree (BA, BS, B.Eng., etc.)","Computer science, computer engineering, or software engineering","Developer, back-end;Developer, front-end;Developer, full-stack",10,3,Java;SQL;Other(s):,MySQL;Oracle;PostgreSQL;SQLite,Linux;Windows,Android Studio;Atom;Eclipse;Notepad++;Sublime Text;Visual Studio Code,Linux-based,75564,45,Less than once per month / Never,Slightly dissatisfied,Slightly satisfied,24,Man,Man
5427,Turkey,Employed full-time,"Yes, full-time","Master’s degree (MA, MS, M.Eng., MBA, etc.)","Another engineering discipline (ex. civil, electrical, mechanical)","Developer, game or graphics;Developer, mobile",5,3,Java;Kotlin,Firebase;MongoDB;SQLite,Android;MacOS;Slack,Android Studio;IntelliJ;NetBeans;Notepad++;Visual Studio,MacOS,26880,35,Less than once per month / Never,Very satisfied,Slightly satisfied,27,Man,Man
5433,United States,Employed full-time,No,"Bachelor’s degree (BA, BS, B.Eng., etc.)","Computer science, computer engineering, or software engineering","Developer, back-end;Developer, front-end;Developer, full-stack;Developer, QA or test",7,5,Bash/Shell/PowerShell;Go;HTML/CSS;JavaScript;PHP;SQL,MariaDB;MySQL,WordPress,PHPStorm;Visual Studio Code,Windows,60000,40,Less than once per month / Never,Very satisfied,Slightly satisfied,30,Man,Man
5438,India,Employed full-time,No,"Bachelor’s degree (BA, BS, B.Eng., etc.)","Computer science, computer engineering, or software engineering","Developer, front-end;Developer, mobile",5,4,HTML/CSS;Java;JavaScript,Firebase;MySQL;SQLite,Android;MacOS;WordPress,Android Studio;Atom;IntelliJ;Visual Studio Code;Xcode,MacOS,7892,44,Less than once per month / Never,Very dissatisfied,Very satisfied,26,Man,Man
5460,South Korea,Employed full-time,No,"Bachelor’s degree (BA, BS, B.Eng., etc.)","A social science (ex. anthropology, psychology, political science)","Developer, back-end;Engineer, data",7,6,Java;Scala;Swift,MySQL;Redis,iOS;Windows,IntelliJ;Visual Studio Code,Windows,58530,40,Less than once per month / Never,Slightly satisfied,Neither satisfied nor dissatisfied,28,Woman,Woman
5443,Australia,Employed part-time,"Yes, full-time","Bachelor’s degree (BA, BS, B.Eng., etc.)","Information systems, information technology, or system administration","Academic researcher;Data or business analyst;Data scientist or machine learning specialist;Database administrator;Developer, back-end;Developer, desktop or enterprise applications;Developer, embedded applications or devices;Developer, front-end;Developer, full-stack;DevOps specialist;Engineer, data;Scientist;Student;System administrator",4,2,Bash/Shell/PowerShell;C;C++;HTML/CSS;Java;JavaScript;PHP;Python;R;Ruby;SQL;VBA,MariaDB;MongoDB;Microsoft SQL Server;MySQL;SQLite,Arduino;AWS;Linux;MacOS;Microsoft Azure;Slack;Windows;WordPress,IPython / Jupyter;PyCharm;RStudio;Sublime Text;Vim;Visual Studio;Visual Studio Code;Xcode,Linux-based,61650,50,It's complicated,Slightly satisfied,Slightly satisfied,20,Man,Man
5446,Netherlands,Employed full-time,No,"Bachelor’s degree (BA, BS, B.Eng., etc.)","Computer science, computer engineering, or software engineering","Developer, back-end;Developer, desktop or enterprise applications;Developer, embedded applications or devices;Developer, front-end;Developer, full-stack",13,9,Bash/Shell/PowerShell;C++;C#;HTML/CSS;JavaScript;PHP;SQL;Swift;Other(s):,Microsoft SQL Server;MySQL,iOS;Linux;MacOS;Windows,Notepad++;Sublime Text;Visual Studio;Visual Studio Code;Xcode,Windows,53328,40,A few days each month,Very satisfied,Very satisfied,28,Man,Man
5450,United States,Employed full-time,No,"Bachelor’s degree (BA, BS, B.Eng., etc.)","Information systems, information technology, or system administration","Database administrator;Developer, back-end;Developer, front-end;System administrator",6,2,C#;HTML/CSS;Java;JavaScript;SQL,MySQL;Redis,Linux;MacOS;Windows,NetBeans;Notepad++;Vim;Visual Studio,MacOS,70000,40,Less than once per month / Never,Very satisfied,Very satisfied,27,Woman,Woman
5451,Sri Lanka,Employed full-time,No,"Bachelor’s degree (BA, BS, B.Eng., etc.)","Information systems, information technology, or system administration","Developer, full-stack;Developer, mobile",15,7,C#;HTML/CSS;JavaScript;SQL,MariaDB;Microsoft SQL Server;MySQL,Google Cloud Platform;Microsoft Azure;Windows,Notepad++;Visual Studio;Visual Studio Code;Xcode,Windows,35664,30,All or almost all the time (I'm full-time remote),Very satisfied,Very satisfied,29,Man,Man
5453,Germany,Employed full-time,No,Some college/university study without earning a degree,"Computer science, computer engineering, or software engineering","Developer, full-stack",11,4,C#;HTML/CSS;JavaScript;PHP;SQL;TypeScript,MariaDB;Microsoft SQL Server;MySQL,Windows,Notepad++;Visual Studio;Visual Studio Code,Windows,51564,40,A few days each month,Neither satisfied nor dissatisfied,Slightly satisfied,23,Man,Man
5454,Brazil,Employed full-time,No,"Bachelor’s degree (BA, BS, B.Eng., etc.)","Computer science, computer engineering, or software engineering","Developer, back-end;Developer, front-end;Developer, full-stack;Student",6,1,HTML/CSS;JavaScript;PHP;Python;SQL,MySQL,Android;Arduino;Linux;Windows,Atom;IntelliJ;PHPStorm;Visual Studio;Visual Studio Code,Linux-based,6552,40,Less than once per month / Never,Slightly dissatisfied,Slightly satisfied,23,Man,Man
5457,Australia,Employed full-time,"Yes, full-time","Master’s degree (MA, MS, M.Eng., MBA, etc.)","Computer science, computer engineering, or software engineering","Developer, back-end;Developer, front-end;Developer, full-stack",18,12,HTML/CSS;JavaScript;PHP;TypeScript,Elasticsearch;MariaDB;MySQL,AWS;Docker;Linux;MacOS;Raspberry Pi,Vim,MacOS,94289,35,Less than once per month / Never,Neither satisfied nor dissatisfied,Slightly satisfied,35,Man,Man
5463,United States,Employed full-time,No,"Bachelor’s degree (BA, BS, B.Eng., etc.)","Computer science, computer engineering, or software engineering","Developer, back-end;Developer, desktop or enterprise applications;Developer, embedded applications or devices;Developer, front-end;Developer, full-stack",8,3,Bash/Shell/PowerShell;C#;HTML/CSS;JavaScript;SQL;TypeScript,Microsoft SQL Server;SQLite,Linux;Raspberry Pi;Windows,Notepad++;Visual Studio;Visual Studio Code,Windows,90000,35,Less than once per month / Never,Very satisfied,Very satisfied,25,Man,Man
5470,United Kingdom,Employed full-time,No,Associate degree,"Computer science, computer engineering, or software engineering","Developer, full-stack",6,4,C#;HTML/CSS;JavaScript;SQL;TypeScript,Microsoft SQL Server;MySQL;SQLite,Android;Docker;iOS;Windows,Visual Studio;Visual Studio Code,Windows,75891,40,A few days each month,Slightly satisfied,Very dissatisfied,26,Man,Man
5472,United States,Employed part-time,No,"Bachelor’s degree (BA, BS, B.Eng., etc.)","Computer science, computer engineering, or software engineering","Database administrator;Designer;Developer, back-end;Developer, desktop or enterprise applications;Developer, front-end;Developer, full-stack;Developer, mobile;Developer, QA or test",13,11,C#;HTML/CSS;Java;JavaScript;Objective-C;Python;Swift;TypeScript,DynamoDB;Firebase;MongoDB;MySQL;PostgreSQL;SQLite,Android;AWS;Google Cloud Platform;Heroku;Linux;MacOS;Microsoft Azure;Slack;Windows;WordPress,Android Studio;Visual Studio;Visual Studio Code;Xcode,MacOS,56250,25,All or almost all the time (I'm full-time remote),Very satisfied,Very satisfied,31,Man,Man
5473,Russian Federation,Employed full-time,No,"Master’s degree (MA, MS, M.Eng., MBA, etc.)","Computer science, computer engineering, or software engineering","Developer, game or graphics;Developer, mobile",13,7,Bash/Shell/PowerShell;C++;HTML/CSS;Java;JavaScript;Objective-C;Ruby;Swift,Firebase;SQLite,Android;iOS,IntelliJ;PyCharm;Sublime Text;Xcode,MacOS,36672,40,Less than once per month / Never,Very satisfied,Very satisfied,29,Man,Man
5474,United States,Employed full-time,"Yes, full-time",Some college/university study without earning a degree,"Computer science, computer engineering, or software engineering","Developer, front-end",30,8,Go;HTML/CSS;Java;JavaScript;PHP;Python;R;SQL;TypeScript;VBA,DynamoDB;Elasticsearch;Firebase;MongoDB;Microsoft SQL Server;MySQL;Oracle;PostgreSQL;Redis;SQLite,Android;AWS;Google Cloud Platform;Heroku;Linux;MacOS;Windows;WordPress,Android Studio;Notepad++;Visual Studio Code,Windows,86000,40,A few days each month,Slightly satisfied,Slightly satisfied,32,Man,Man
5476,United States,Employed full-time,No,"Bachelor’s degree (BA, BS, B.Eng., etc.)","A humanities discipline (ex. literature, history, philosophy)","Developer, full-stack",5,2,HTML/CSS;Java;JavaScript;PHP;Python;SQL;Swift,Firebase;MongoDB;MySQL,Android;AWS;Google Cloud Platform;Heroku;iOS;Linux;MacOS;Slack;WordPress,Android Studio;IntelliJ;PHPStorm;Sublime Text;Visual Studio Code;Xcode,MacOS,2000000,45,A few days each month,Very satisfied,Slightly satisfied,24,Man,Man
5478,France,Employed full-time,"Yes, full-time","Master’s degree (MA, MS, M.Eng., MBA, etc.)","Computer science, computer engineering, or software engineering","Developer, front-end;Developer, full-stack;Developer, mobile",12,7,Bash/Shell/PowerShell;Elixir;HTML/CSS;JavaScript;SQL;TypeScript,MongoDB;MySQL;PostgreSQL;Redis,Docker;WordPress,Android Studio;Visual Studio Code;Xcode,MacOS,63016,35,Less than once per month / Never,Very dissatisfied,Slightly satisfied,32,Man,Man
5487,Sri Lanka,Employed full-time,No,"Bachelor’s degree (BA, BS, B.Eng., etc.)","Computer science, computer engineering, or software engineering","Academic researcher;Designer;Developer, back-end;Developer, desktop or enterprise applications;Developer, front-end;Developer, mobile;Scientist",10,7,C#;Java;JavaScript;Objective-C;PHP;SQL;Swift,MySQL;SQLite,Android;Docker;MacOS;Raspberry Pi,Android Studio;PHPStorm;Sublime Text;Visual Studio;Visual Studio Code;Xcode,MacOS,12228,40,"Less than half the time, but at least one day each week",Very satisfied,Slightly dissatisfied,29.5,Man,Man
5496,Germany,Employed full-time,No,"Bachelor’s degree (BA, BS, B.Eng., etc.)","A natural science (ex. biology, chemistry, physics)","Developer, full-stack;Educator",14,9,Go;HTML/CSS;Java;JavaScript;PHP;Python;Scala;SQL;TypeScript;VBA,DynamoDB;MongoDB;MySQL;Oracle;PostgreSQL,AWS;Docker;Google Cloud Platform;Heroku;Linux;MacOS;Microsoft Azure;Windows;WordPress;Other(s):,IntelliJ;Sublime Text;Visual Studio Code,MacOS,148947,35,"Less than half the time, but at least one day each week",Slightly satisfied,Neither satisfied nor dissatisfied,31,Man,Man
5497,South Africa,Employed full-time,No,"Bachelor’s degree (BA, BS, B.Eng., etc.)","Computer science, computer engineering, or software engineering","Developer, back-end",17,14,Bash/Shell/PowerShell;JavaScript,DynamoDB;Redis,AWS;Linux,Visual Studio Code,Windows,63048,40,"Less than half the time, but at least one day each week",Very dissatisfied,Very dissatisfied,36,Man,Man
5502,United States,Employed full-time,No,"Master’s degree (MA, MS, M.Eng., MBA, etc.)","Computer science, computer engineering, or software engineering","Developer, back-end;Developer, full-stack",20,12,Bash/Shell/PowerShell;Go;Java,Redis,AWS;Docker,Visual Studio Code,MacOS,215000,40,"Less than half the time, but at least one day each week",Very satisfied,Very satisfied,34,Man,Man
5503,India,Employed full-time,No,"Bachelor’s degree (BA, BS, B.Eng., etc.)","Computer science, computer engineering, or software engineering","Developer, full-stack",7,2,C;C++;HTML/CSS;Java;JavaScript;Kotlin;Python,MongoDB;PostgreSQL;SQLite,Android;Arduino;AWS;Docker;Heroku;Linux;Raspberry Pi;Slack;Windows,Vim,Linux-based,6689,35,Less than once per month / Never,Slightly dissatisfied,Slightly dissatisfied,26,Man,Man
5507,France,Employed full-time,No,"Master’s degree (MA, MS, M.Eng., MBA, etc.)","Computer science, computer engineering, or software engineering","Database administrator;Developer, back-end;Developer, QA or test;System administrator",10,5,C;C++;C#;HTML/CSS;JavaScript;PHP;SQL,MariaDB;MySQL;PostgreSQL;SQLite,Linux;Slack;Windows,Emacs;Notepad++,Windows,43538,39,Less than once per month / Never,Slightly dissatisfied,Slightly dissatisfied,29,Man,Man
5509,Bangladesh,Employed full-time,No,"Master’s degree (MA, MS, M.Eng., MBA, etc.)","Computer science, computer engineering, or software engineering","Developer, back-end;Developer, full-stack",12,7,C#,Microsoft SQL Server,Windows,IntelliJ;Notepad++;Sublime Text;Visual Studio,Windows,24848,35,Less than once per month / Never,Very satisfied,Slightly satisfied,31,Man,Man
5510,United States,Employed full-time,No,Some college/university study without earning a degree,I never declared a major,"Database administrator;Designer;Developer, back-end;Developer, front-end;Developer, full-stack;System administrator",10,7,HTML/CSS;Java;JavaScript;PHP;SQL;TypeScript,MariaDB;MongoDB;Microsoft SQL Server;MySQL;PostgreSQL;SQLite,Docker;Google Cloud Platform;Linux;MacOS;Slack,Atom;PHPStorm;Sublime Text;Vim;Visual Studio Code,MacOS,67000,35,About half the time,Very satisfied,Very satisfied,33,Man,Man
5512,India,Employed full-time,No,"Bachelor’s degree (BA, BS, B.Eng., etc.)","Information systems, information technology, or system administration","Developer, back-end;Developer, desktop or enterprise applications;Developer, embedded applications or devices;Developer, front-end;Developer, full-stack;Developer, mobile",5,1,Assembly;Bash/Shell/PowerShell;PHP;SQL,MySQL,Android;Arduino;AWS;Google Cloud Platform;Raspberry Pi,Android Studio;Eclipse;NetBeans;Sublime Text,Windows,4200,45,A few days each month,Slightly satisfied,Slightly dissatisfied,22,Man,Man
5514,Italy,Employed full-time,No,Some college/university study without earning a degree,"A humanities discipline (ex. literature, history, philosophy)","Developer, full-stack;Educator",10,4,Bash/Shell/PowerShell;HTML/CSS;Java;JavaScript;PHP;SQL;TypeScript,MariaDB;MySQL;Oracle;PostgreSQL;SQLite,Android;Docker;Linux;MacOS;Slack;Windows;WordPress,IntelliJ;PHPStorm,Windows,28644,45,Less than once per month / Never,Very satisfied,Very satisfied,30,Man,Man
5517,Spain,Employed full-time,No,"Other doctoral degree (Ph.D, Ed.D., etc.)","Computer science, computer engineering, or software engineering","Developer, back-end;Developer, desktop or enterprise applications;Developer, embedded applications or devices;Developer, front-end;Developer, full-stack;Developer, mobile;Developer, QA or test;DevOps specialist;Engineer, data;Engineer, site reliability;Engineering manager;System administrator",23,15,HTML/CSS;Java;JavaScript,Elasticsearch;MariaDB;MySQL;Oracle,AWS;Docker;Linux,Eclipse;Notepad++,Linux-based,45830,40,A few days each month,Very satisfied,Slightly satisfied,41,Man,Man
5525,Spain,Employed full-time,No,"Bachelor’s degree (BA, BS, B.Eng., etc.)","Computer science, computer engineering, or software engineering","Data or business analyst;Data scientist or machine learning specialist;Database administrator;Designer;Developer, back-end;Developer, front-end;Developer, full-stack;Developer, QA or test;DevOps specialist;Engineer, data;System administrator",9,5,HTML/CSS;JavaScript;PHP;Python;SQL,Cassandra;Elasticsearch;MariaDB;MongoDB;MySQL;Redis;SQLite,AWS;Docker;IBM Cloud or Watson;Kubernetes;Linux,IntelliJ;PHPStorm;PyCharm;Sublime Text,Linux-based,309348,40,A few days each month,Very satisfied,Very satisfied,29,Man,Man
5528,United States,Employed full-time,No,"Bachelor’s degree (BA, BS, B.Eng., etc.)","Computer science, computer engineering, or software engineering","Developer, full-stack",7,3,Ruby;SQL,DynamoDB;Elasticsearch;MongoDB;PostgreSQL;Redis,AWS;Linux;MacOS;Raspberry Pi,RubyMine;Vim,MacOS,140000,40,Less than once per month / Never,Slightly satisfied,Very satisfied,25,Man,Man
5530,United States,Employed full-time,No,"Bachelor’s degree (BA, BS, B.Eng., etc.)","A natural science (ex. biology, chemistry, physics)","Developer, back-end;Developer, desktop or enterprise applications;Developer, front-end;Developer, full-stack",5,5,C#;HTML/CSS;JavaScript;SQL;TypeScript,Microsoft SQL Server,Windows,Visual Studio,Windows,100000,45,A few days each month,Very satisfied,Slightly satisfied,26,Man,Man
5532,Norway,Employed full-time,No,"Bachelor’s degree (BA, BS, B.Eng., etc.)","Computer science, computer engineering, or software engineering","Developer, back-end;Developer, mobile",5,3,C#;SQL,Microsoft SQL Server,Microsoft Azure,Visual Studio;Visual Studio Code,Windows,853164,375,A few days each month,Slightly satisfied,Slightly satisfied,30,Man,Man
5533,United States,Employed full-time,No,Some college/university study without earning a degree,"Another engineering discipline (ex. civil, electrical, mechanical)",Database administrator;System administrator,10,3,Go;HTML/CSS;Python;Ruby;SQL,Microsoft SQL Server;SQLite;Other(s):,Arduino;AWS;Docker;Linux;Raspberry Pi;Windows,Notepad++;PyCharm,Linux-based,30500,40,Less than once per month / Never,Slightly satisfied,Slightly satisfied,22,Man,Man
5535,Italy,Employed full-time,No,"Master’s degree (MA, MS, M.Eng., MBA, etc.)","Computer science, computer engineering, or software engineering","Developer, QA or test;Engineer, data",10,5,C;C++;Java;Python,MySQL;Oracle;PostgreSQL,Raspberry Pi,Eclipse;Notepad++;Vim,Windows,37810,40,"Less than half the time, but at least one day each week",Very satisfied,Slightly satisfied,27,Man,Man
5539,France,Employed full-time,No,"Bachelor’s degree (BA, BS, B.Eng., etc.)","Computer science, computer engineering, or software engineering","Developer, full-stack;DevOps specialist",14,12,Bash/Shell/PowerShell;HTML/CSS;JavaScript;Python;SQL,PostgreSQL;Redis,AWS;Docker;Heroku;Linux,IPython / Jupyter;Vim,Linux-based,74474,40,Less than once per month / Never,Very satisfied,Slightly satisfied,31,"Man;Non-binary, genderqueer, or gender non-conforming",Other
5544,Spain,Employed full-time,No,"Bachelor’s degree (BA, BS, B.Eng., etc.)","Computer science, computer engineering, or software engineering","Designer;Developer, front-end;Developer, game or graphics;Product manager",12,8,Dart;HTML/CSS;JavaScript;PHP,Firebase;MySQL;Redis,Linux;WordPress,IntelliJ,Linux-based,40101,7.5,A few days each month,Very satisfied,Slightly satisfied,32,Man,Man
5546,Germany,Employed full-time,No,Associate degree,"Computer science, computer engineering, or software engineering","Developer, back-end;Developer, desktop or enterprise applications",7,6,C#;Java;JavaScript;PHP;SQL,MariaDB;MongoDB;Microsoft SQL Server;MySQL,Android;iOS;Linux;MacOS;Windows;WordPress,NetBeans;Notepad++,Windows,33000,40,Less than once per month / Never,Slightly satisfied,Neither satisfied nor dissatisfied,27,Woman,Woman
5549,United States,Employed full-time,No,"Master’s degree (MA, MS, M.Eng., MBA, etc.)",Mathematics or statistics,"Developer, back-end",8,3,C#;Python;Rust;Other(s):,SQLite,Linux;Windows,IPython / Jupyter;PyCharm;Vim;Visual Studio Code,Windows,100000,37.5,"Less than half the time, but at least one day each week",Slightly satisfied,Neither satisfied nor dissatisfied,31,Man,Man
5550,United States,Employed full-time,No,"Bachelor’s degree (BA, BS, B.Eng., etc.)","A natural science (ex. biology, chemistry, physics)","Database administrator;Developer, back-end;Engineer, data",3,3,Bash/Shell/PowerShell;C#;HTML/CSS;JavaScript;SQL,MongoDB;Microsoft SQL Server;Redis,Windows,Notepad++;Sublime Text;Visual Studio,Windows,70000,55,A few days each month,Very satisfied,Slightly satisfied,26,Man,Man
5552,Australia,Employed full-time,No,"Bachelor’s degree (BA, BS, B.Eng., etc.)","Computer science, computer engineering, or software engineering","Database administrator;Developer, back-end;Engineer, data;System administrator",10,5,HTML/CSS;JavaScript;PHP;Python;Scala,MySQL;PostgreSQL;SQLite,Arduino;AWS;Linux;Raspberry Pi,Android Studio;Notepad++;Sublime Text;Vim,Linux-based,59475,40,Less than once per month / Never,Very satisfied,Very satisfied,28,Man,Man
5555,Germany,Employed full-time,No,"Other doctoral degree (Ph.D, Ed.D., etc.)",Mathematics or statistics,Data scientist or machine learning specialist,16,8,Python;R;SQL,Oracle;PostgreSQL,Linux,Emacs;IPython / Jupyter;PyCharm;RStudio,Windows,120304,40,"Less than half the time, but at least one day each week",Very satisfied,Slightly satisfied,31,Man,Man
5557,United States,Employed full-time,No,Associate degree,Web development or web design,"Designer;Developer, front-end;Developer, full-stack",5,4,Elixir;HTML/CSS;JavaScript;TypeScript,Firebase;MongoDB;PostgreSQL,Google Cloud Platform;Linux;MacOS;Slack;Windows,Atom;IntelliJ;Sublime Text;Visual Studio Code;Xcode,MacOS,119000,40,A few days each month,Slightly satisfied,Slightly satisfied,26,Man,Man
5556,India,Employed full-time,No,"Bachelor’s degree (BA, BS, B.Eng., etc.)","Computer science, computer engineering, or software engineering","Developer, back-end;Developer, desktop or enterprise applications;Developer, front-end;Developer, full-stack",15,6,C++;C#;HTML/CSS;Java;JavaScript;SQL;TypeScript,DynamoDB;Elasticsearch;MongoDB;Microsoft SQL Server;MySQL;Redis,AWS;Windows,Notepad++;Visual Studio;Visual Studio Code,Windows,32183,65,Less than once per month / Never,Slightly satisfied,Slightly satisfied,30,Man,Man
5560,Brazil,Employed full-time,"Yes, part-time","Bachelor’s degree (BA, BS, B.Eng., etc.)","Computer science, computer engineering, or software engineering","Developer, back-end;Product manager",7,5,Java;SQL,Oracle,Linux;Windows,Eclipse;IntelliJ;Notepad++,Windows,22944,43,Less than once per month / Never,Neither satisfied nor dissatisfied,Slightly dissatisfied,25,Man,Man
5561,Russian Federation,Employed part-time,"Yes, part-time","Bachelor’s degree (BA, BS, B.Eng., etc.)",Mathematics or statistics,DevOps specialist,8,0,Bash/Shell/PowerShell;Python,PostgreSQL,AWS;Docker;Kubernetes;Linux;Windows,IPython / Jupyter;Notepad++;PyCharm,Linux-based,5496,6,A few days each month,Very satisfied,Slightly dissatisfied,22,Man,Man
5563,United States,Employed full-time,No,"Professional degree (JD, MD, etc.)","Computer science, computer engineering, or software engineering","Developer, full-stack",10,6,Bash/Shell/PowerShell;C#;TypeScript,MongoDB,Docker;Kubernetes;Microsoft Azure;Windows,Notepad++;Visual Studio;Visual Studio Code,Windows,160000,35,Less than once per month / Never,Very satisfied,Slightly satisfied,31,Woman,Woman
5565,Taiwan,Employed full-time,No,"Master’s degree (MA, MS, M.Eng., MBA, etc.)","Computer science, computer engineering, or software engineering","Developer, back-end;Developer, desktop or enterprise applications;Developer, front-end;Developer, full-stack",9,3,Bash/Shell/PowerShell;C#,Microsoft SQL Server;MySQL;Oracle,Microsoft Azure;Slack;Windows,Notepad++;Visual Studio;Visual Studio Code,Windows,28620,40,Less than once per month / Never,Slightly satisfied,Very satisfied,29,Man,Man
5567,Switzerland,Employed full-time,"Yes, part-time",Associate degree,Web development or web design,"Developer, front-end;Developer, full-stack;Developer, mobile",4,4,HTML/CSS;JavaScript;PHP;TypeScript,MongoDB;Microsoft SQL Server;MySQL,Android;Arduino;Microsoft Azure;Windows,Visual Studio;Visual Studio Code,Windows,17484,40,Less than once per month / Never,Very satisfied,Very dissatisfied,19,Man,Man
5573,Finland,Employed part-time,No,"Bachelor’s degree (BA, BS, B.Eng., etc.)","Computer science, computer engineering, or software engineering","Designer;Developer, back-end;Developer, desktop or enterprise applications;Developer, embedded applications or devices;Developer, front-end;Developer, full-stack;Educator;Product manager",17,15,C#;SQL,Microsoft SQL Server,Arduino;Windows,Visual Studio,Windows,54996,10,It's complicated,Neither satisfied nor dissatisfied,Slightly satisfied,51,Man,Man
5568,United Kingdom,Employed full-time,"Yes, full-time","Master’s degree (MA, MS, M.Eng., MBA, etc.)","Computer science, computer engineering, or software engineering",Academic researcher,7,5,Go;Java;Python;R,Cassandra;Other(s):,Docker;Linux,Eclipse;IntelliJ;IPython / Jupyter;Vim,Linux-based,1000000,40,A few days each month,Very satisfied,Very satisfied,34,Man,Man
5575,United States,Employed part-time,"Yes, full-time",Some college/university study without earning a degree,"Computer science, computer engineering, or software engineering","Database administrator;Developer, back-end;Developer, desktop or enterprise applications;Developer, embedded applications or devices;Developer, front-end;Developer, full-stack;Developer, game or graphics;Developer, QA or test;DevOps specialist",7,2,Bash/Shell/PowerShell;C#;HTML/CSS;JavaScript;PHP;Python;SQL,DynamoDB;MySQL,AWS;Linux;Raspberry Pi;Windows,Notepad++;Vim;Visual Studio Code,Windows,25500,20,A few days each month,Very satisfied,Very satisfied,23,Man,Man
5578,Switzerland,Employed full-time,No,"Bachelor’s degree (BA, BS, B.Eng., etc.)","Computer science, computer engineering, or software engineering","Developer, back-end;Developer, front-end;Developer, full-stack;Developer, QA or test;DevOps specialist",9,3,Assembly;Bash/Shell/PowerShell;C;C#;Go;HTML/CSS;JavaScript;Rust;SQL;TypeScript;WebAssembly,DynamoDB;Elasticsearch;MariaDB;MongoDB;MySQL;PostgreSQL;Redis,AWS;Docker;Google Cloud Platform;Kubernetes;Linux;Raspberry Pi;Slack;Windows;WordPress,Visual Studio Code,Linux-based,95440,40,A few days each month,Very satisfied,Very satisfied,22,Man,Man
5582,Russian Federation,Employed full-time,No,"Master’s degree (MA, MS, M.Eng., MBA, etc.)","Computer science, computer engineering, or software engineering","Developer, back-end",10,5,Bash/Shell/PowerShell;Go;HTML/CSS;JavaScript;Python;Ruby;SQL,MongoDB;PostgreSQL;Redis,AWS;Docker;Linux;Windows,Notepad++;Sublime Text;Vim,Linux-based,27504,40,Less than once per month / Never,Slightly satisfied,Slightly satisfied,25,Woman,Woman
5583,United Kingdom,Employed full-time,No,Some college/university study without earning a degree,"Computer science, computer engineering, or software engineering","Database administrator;Developer, back-end;Developer, full-stack;Engineer, data",20,20,Bash/Shell/PowerShell;C#;HTML/CSS;TypeScript,MongoDB;Microsoft SQL Server,AWS;MacOS;Microsoft Azure;Windows,Notepad++;Vim;Visual Studio;Visual Studio Code,Windows,89,50,Less than once per month / Never,Slightly dissatisfied,Slightly dissatisfied,45,Man,Man
5591,Costa Rica,Employed full-time,"Yes, part-time",Some college/university study without earning a degree,"Computer science, computer engineering, or software engineering","Academic researcher;Developer, full-stack;DevOps specialist",6,3,C#;HTML/CSS;JavaScript;SQL,Elasticsearch;Microsoft SQL Server,AWS;Microsoft Azure;Windows,IntelliJ;Visual Studio,Windows,27000,8,A few days each month,Very dissatisfied,Slightly dissatisfied,21,Man,Man
5595,Luxembourg,Employed full-time,No,"Bachelor’s degree (BA, BS, B.Eng., etc.)","Computer science, computer engineering, or software engineering","Developer, full-stack",6,4,Bash/Shell/PowerShell;C;HTML/CSS;JavaScript;PHP;TypeScript,Firebase;MySQL;PostgreSQL,Google Cloud Platform,PHPStorm,Windows,42624,40,Less than once per month / Never,Very satisfied,Very satisfied,26,Man,Man
